,col base,action base,col count,action count,hist,bins
211,action,Child utterance,action:sub_action,Mutual gaze:MG,[1 3 6 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
212,action,Child utterance,action:sub_action,Parent gaze:child,[0 3 4 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
213,action,Child utterance,action:sub_action,Parent gaze:props,[0 0 0 1 0 0 2],[-3 -2 -1  0  1  2  3  4]
214,action,Child utterance,action:sub_action,Parent gaze:robot,[0 0 1 4 0 3 0],[-3 -2 -1  0  1  2  3  4]
215,action,Child utterance,action:sub_action,Parent gesture:other,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
216,action,Child utterance,action:sub_action,Parent gesture:point at prop,[0 1 0 0 1 1 0],[-3 -2 -1  0  1  2  3  4]
217,action,Child utterance,action:sub_action,Parent prop manipulation:parent,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
218,action,Child utterance,action:sub_action,Parent utterance:missing data,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
219,action,Child utterance,action:sub_action,Parent utterance:utterance,[1 0 1 3 2 1 0],[-3 -2 -1  0  1  2  3  4]
220,action,Child utterance,action:sub_action,Verbal scaffolding:affective,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
221,action,Child utterance,action:sub_action,Verbal scaffolding:cognitive,[1 0 0 1 0 1 0],[-3 -2 -1  0  1  2  3  4]
222,action,Child utterance,action:sub_action,Verbal scaffolding:instruction translation,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
223,action,Child utterance,action:sub_action,Verbal scaffolding:technical,[0 0 0 1 1 0 0],[-3 -2 -1  0  1  2  3  4]
224,action,Conversational turns,action,Child gaze,[6 3 5 1 2 4 6],[-3 -2 -1  0  1  2  3  4]
225,action,Conversational turns,action,Child gesture,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
226,action,Conversational turns,action,Child prop manipulation,[0 0 0 1 2 3 0],[-3 -2 -1  0  1  2  3  4]
227,action,Conversational turns,action,Child utterance,[5 4 2 0 0 2 0],[-3 -2 -1  0  1  2  3  4]
