,Child utterance,Child gaze,Child gesture,Parent utterance,Verbal scaffolding,Parent gaze,Parent gesture,Child prop manipulation,Parent prop manipulation,Conversational turns,Joint attention,Mutual gaze,time
233,0,1,0,0,0,1,0,0,0,0,0,1,124.818
234,0,1,0,0,0,1,0,0,0,0,0,1,125.318
235,0,1,0,0,0,1,1,0,0,0,1,0,125.818
236,0,1,0,1,1,1,1,0,0,0,1,0,126.318
237,0,1,0,1,1,1,1,0,0,0,1,0,126.818
238,0,1,0,1,1,1,1,0,0,0,0,0,127.318
239,0,1,0,1,1,1,0,0,0,0,1,0,127.818
240,0,1,0,0,0,1,0,0,0,0,1,0,128.318
241,0,1,0,0,0,1,0,1,0,0,0,0,128.818
242,0,1,0,0,0,1,0,1,0,0,0,0,129.318
243,0,1,0,0,0,1,0,1,0,0,0,0,129.818
244,0,1,0,0,0,1,0,1,0,0,1,0,130.318
245,0,1,0,0,0,1,0,1,0,0,1,0,130.818
246,0,1,0,0,0,1,0,1,0,0,0,0,131.318
247,0,1,0,0,0,1,0,1,0,0,1,0,131.818
248,0,1,0,0,0,1,0,1,0,0,1,0,132.318
249,0,1,0,0,0,1,0,0,1,0,1,0,132.818
250,0,1,0,0,0,1,0,0,1,0,1,0,133.318
251,0,1,0,0,0,1,0,0,1,0,1,0,133.818
252,0,1,0,0,0,1,0,0,1,0,1,0,134.318
253,0,1,0,0,0,1,0,0,1,0,1,0,134.818
254,0,1,0,0,0,1,0,0,1,0,1,0,135.318
255,0,1,0,0,0,1,0,0,1,0,1,0,135.818
256,0,1,0,0,0,1,0,0,1,0,1,0,136.318
257,1,1,1,0,0,1,0,0,1,0,1,0,136.818
258,1,1,1,0,0,1,0,0,1,0,1,0,137.318
259,0,1,1,1,1,1,0,0,1,1,1,0,137.818
260,0,1,1,1,1,1,0,0,1,1,1,0,138.318
261,0,1,1,1,1,1,0,1,1,1,1,0,138.818
262,0,1,0,0,0,1,0,1,0,1,1,0,139.318
263,0,1,0,0,0,1,0,1,0,1,1,0,139.818
264,0,1,0,0,0,1,0,1,0,1,1,0,140.318
265,0,1,0,0,0,1,0,0,0,1,1,0,140.818
266,0,1,0,0,0,1,0,0,0,1,1,0,141.318
267,0,1,0,0,0,1,0,0,0,1,1,0,141.818
268,1,1,0,0,0,1,0,0,0,1,0,1,142.318
269,0,1,0,0,0,1,0,0,0,0,0,1,142.818
270,0,1,0,0,0,1,0,0,0,0,1,1,143.318
271,0,1,0,0,0,1,0,0,0,0,1,0,143.818
272,0,1,0,0,0,1,0,0,0,0,0,0,144.318
273,0,1,0,0,0,1,0,0,0,0,0,0,144.818
274,0,1,0,0,0,1,0,1,0,0,0,0,145.318
275,0,1,0,0,0,1,0,1,0,0,1,0,145.818
276,0,1,0,0,0,1,1,1,0,0,1,0,146.318
277,0,1,0,0,0,1,1,1,0,0,0,0,146.818
278,0,1,0,0,0,1,1,1,0,0,1,0,147.318
